Simulated Temperature Changes,Fraction of global area,ACCESS-ESM1-5,BCC-CSM1-1,CCSM4,CESM2,CNRM-CM5,CNRM-CM6-1,CSIRO-Mk3-6-0,CSIRO-Mk3L-1-2,FGOALS-f3-L,FGOALS-g2,FGOALS-s2,GISS-E2-1-G,GISS-E2-R,HadGEM2-ES,INM-CM4-8,IPSL-CM5A-LR,IPSL-CM6A-LR,MIROC-ES2L,MIROC-ESM,MPI-ESM1-2-LR,MPI-ESM-P,MRI-CGCM3,MRI-ESM2-0,NESM3,NorESM2-LM 
GLOBAL,1,4.28,3.69,4.28,4.98,4.06,5.47,3.72,3.19,5.04,3.98,4.31,0.72,3.01,4.66,3.03,4.33,5.55,3.54,4.52,4.72,4.21,3.46,3.62,5.99,3.31
GLOBAL (over land),1,5.74,4.87,5.54,6.3,5.15,7.11,4.85,4.14,6.78,4.91,5.29,1.04,4.08,6.55,3.87,5.7,7.48,4.8,6.01,6.41,5.81,4.43,4.42,7.93,4.83
GLOBAL (over ocean),1,3.65,3.19,3.75,4.43,3.6,4.77,3.23,2.8,4.3,3.59,3.89,0.59,2.56,3.86,2.68,3.76,4.73,3.01,3.9,4,3.53,3.05,3.28,5.16,2.66
60-90oN,0.067,9.4,8.72,9.15,8.21,9.46,11.41,6.31,6.88,11.66,7.89,9.16,1.59,5.41,11,5.86,8.12,13.04,8.84,9.73,9.97,7.93,8.16,6.28,13.42,7.5
60-90oN (over land),0.118,8.36,7.94,8.56,8.02,8.04,10.14,5.93,5.71,10.69,7.15,7.85,1.44,4.96,10.06,5.15,7.52,11.6,8.05,9.43,9.59,7.52,6.98,5.7,12.26,7.39
60-90oN (over ocean),0.045,10.58,9.53,9.77,8.41,10.99,12.77,6.74,8.14,12.74,8.9,10.64,1.74,5.89,12.06,6.64,8.76,14.62,9.68,10.05,10.41,8.4,9.43,6.91,14.75,7.62
30-60oN,0.183,5.37,4.58,4.85,4.95,4.46,6,3.82,3.08,6.2,5.29,4.71,0.88,3.44,6.03,3.69,5.36,6.91,4.64,5.6,5.77,4.91,4.14,3.35,7.58,4.7
30-60oN (over land),0.312,6.06,5.15,5.86,6.26,5.25,7.24,4.62,3.9,7.41,5.85,5.65,1.12,4.3,7.02,4.2,6.35,8.26,5.38,6.63,6.93,5.97,4.63,4.08,8.64,5.62
30-60oN (over ocean),0.129,4.66,3.98,3.81,3.6,3.65,4.73,3.01,2.27,4.96,4.69,3.75,0.64,2.55,5.01,3.18,4.35,5.53,3.86,4.51,4.6,3.83,3.64,2.59,6.5,3.75
0-30oN,0.25,4.07,3.11,3.45,4.51,3.41,4.88,3.88,3.09,4.49,3.01,3.61,0.75,3.11,4.27,2.75,4.32,5.07,3.52,4.12,4.48,4.46,3.19,3.3,5.32,3.5
0-30oN (over land),0.247,5.2,4.11,4.62,5.67,4.34,6.36,4.85,4.05,5.65,3.81,4.51,1,4.08,5.7,3.44,5.37,6.48,4.41,5.03,5.54,5.69,4.03,4.21,6.46,4.38
0-30oN (over ocean),0.251,3.6,2.68,2.97,4.03,3.03,4.27,3.47,2.72,4.01,2.67,3.23,0.64,2.7,3.66,2.47,3.88,4.5,3.15,3.74,4.03,3.94,2.84,2.92,4.83,3.13
30oS-0,0.25,2.57,2.64,3.79,4.06,3.13,4.07,2.45,2.14,3.53,3.8,3.64,0.39,2.02,2.8,2.23,2.78,3.56,2.04,3.01,3.14,2.36,2.22,3.1,4.06,1.47
30oS-0 (over land),0.196,3.71,3.15,4.13,4.98,3.91,5.24,3.31,2.94,4.68,3.72,4.36,0.68,2.86,4.21,2.82,4.27,4.89,3.1,3.77,4.81,4.27,2.91,3.74,5.9,2.4
30oS-0 (over ocean),0.273,2.49,2.61,3.76,4,3.07,3.99,2.4,2.08,3.45,3.8,3.59,0.37,1.96,2.71,2.19,2.69,3.48,1.98,2.96,3.03,2.24,2.18,3.06,3.94,1.41
60-30oS,0.183,3.65,2.85,3.3,4.74,3.23,4.57,3.44,2.9,4.08,2.76,3.48,0.68,2.91,3.8,2.53,4.1,4.56,2.98,3.86,4.1,4.07,2.82,3.33,4.86,2.66
60-30oS (over land),0.037,5.29,4.08,4.45,5.91,4.28,6.42,4.91,3.8,5.59,3.47,4.3,0.96,4.07,5.86,3.26,5.37,6.27,3.72,5.18,5.65,5.82,3.74,4.17,6.53,3.97
60-30oS (over ocean),0.244,3.14,2.49,2.95,4.38,2.91,4.01,3,2.64,3.63,2.56,3.24,0.59,2.57,3.17,2.3,3.72,4.04,2.76,3.47,3.63,3.54,2.54,3.08,4.36,2.26
90-60oS,0.067,3.86,5.09,6.14,7.2,5.7,7.49,4.62,4.46,4.97,6.86,5.72,0.43,2.14,4.23,3.52,2.98,5.36,1.86,5.09,4,3.12,3.89,5.54,5.99,2.14
90-60oS (over land),0.09,4.49,4.81,6.06,7.36,5.71,7.14,4.71,4.63,6.03,6.22,5.25,0.71,2.64,5.12,4.02,3.44,5.75,3,5.18,5.04,3.81,3.8,5.42,7.5,2.99
90-60oS (over ocean),0.057,3.48,5.3,6.19,7.1,5.69,7.72,4.56,4.35,4.27,7.23,6.01,0.26,1.84,3.68,3.2,2.65,5.11,1,5.03,3.33,2.67,3.96,5.62,5.01,1.54
