Simulated Temperature Changes,Fraction of global area,CCSM4,CNRM-CM5,COSMOS-ASO,FGOALS-g2,GISS-E2-R,INM-CM4-8,IPSL-CM5A-LR,MIROC-ES2L,MIROC-ESM,MPI-ESM1-2-LR,MPI-ESM-P,MRI-CGCM3,UofT-CCSM-4 
GLOBAL,1,-4.91,-2.63,-5.47,-4.58,-4.8,-3.72,-4.6,-4.04,-5,-3.91,-4.41,-4.68,-5.27
GLOBAL (over land),1,-7.09,-4.29,-8.08,-7.29,-8.01,-6.83,-7.27,-6.34,-8.11,-6.19,-7.25,-6.51,-6.83
GLOBAL (over ocean),1,-4,-1.93,-4.36,-3.46,-3.46,-2.41,-3.47,-3.08,-3.7,-2.94,-3.21,-3.91,-4.61
60-90oN,0.067,-13.03,-7.59,-12.68,-14.72,-17.92,-11.49,-11.3,-12.54,-16.71,-10.44,-12.82,-11.09,-12.82
60-90oN (over land),0.118,-12.45,-7.33,-11.37,-12.77,-17.16,-11.74,-11.56,-11.65,-14.65,-11.02,-12.5,-10.77,-12.9
60-90oN (over ocean),0.045,-13.65,-7.88,-14.2,-17.34,-18.72,-11.21,-11.03,-13.49,-18.87,-9.78,-13.19,-11.44,-12.74
30-60oN,0.183,-8.16,-4.19,-7.94,-8.62,-8.75,-8.59,-7.91,-7.8,-10.91,-6.33,-7.2,-6.11,-8.01
30-60oN (over land),0.312,-10.22,-6.13,-10.39,-10.49,-11.91,-11.22,-10.58,-10.12,-13.48,-9.02,-10.19,-8.04,-9.43
30-60oN (over ocean),0.129,-6.04,-2.17,-5.45,-6.64,-5.48,-5.89,-5.16,-5.34,-8.18,-3.6,-4.17,-4.11,-6.56
0-30oN,0.25,-2.72,-1.7,-3.74,-3.37,-3.15,-2.94,-3.59,-2.45,-2.57,-2.22,-2.7,-2.84,-2.55
0-30oN (over land),0.247,-3.54,-2.37,-5.17,-4.41,-3.84,-3.77,-4.3,-3.05,-3.14,-2.94,-3.65,-3.62,-2.93
0-30oN (over ocean),0.251,-2.39,-1.43,-3.16,-2.92,-2.87,-2.61,-3.29,-2.2,-2.33,-1.92,-2.29,-2.52,-2.4
30oS-0,0.25,-4.02,-1.59,-3.69,-2.04,-2.13,-0.6,-2.33,-2.21,-2.1,-2.75,-2.51,-4.18,-5.33
30oS-0 (over land),0.196,-3.44,-2.38,-4.57,-3.19,-2.76,-2.39,-3.43,-2.62,-2.53,-3.09,-3.2,-4.27,-4.42
30oS-0 (over ocean),0.273,-4.06,-1.53,-3.63,-1.97,-2.08,-0.48,-2.26,-2.19,-2.08,-2.73,-2.47,-4.17,-5.39
60-30oS,0.183,-2.4,-1.53,-3.69,-2.79,-2.34,-1.41,-2.93,-1.87,-1.94,-1.9,-2.32,-2.75,-2.61
60-30oS (over land),0.037,-3.15,-2.2,-5.18,-4.05,-3.37,-2.21,-3.65,-2.15,-2.8,-2.63,-3.47,-3.59,-2.89
60-30oS (over ocean),0.244,-2.17,-1.33,-3.25,-2.42,-2.03,-1.16,-2.71,-1.79,-1.69,-1.68,-1.98,-2.5,-2.52
90-60oS,0.067,-8.2,-3.71,-8.85,-4.05,-3.58,-2.67,-5.45,-5.46,-7.27,-7.47,-7.48,-10.34,-10.41
90-60oS (over land),0.09,-9.26,-4.26,-11.19,-6.47,-6.15,-5.48,-8.28,-6.62,-9.17,-7.76,-9.76,-11.25,-10.43
90-60oS (over ocean),0.057,-7.48,-3.34,-7.44,-2.68,-2.02,-0.84,-3.45,-4.59,-5.83,-7.29,-6.02,-9.73,-10.4
